source_genesymbol	sign	target_genesymbol
ASPH	1	TRPC3
CABP1	-1	TRPC5
CALM1	-1	TRPC3
CALM1	1	TRPV1
CALM2	-1	TRPC3
CALM2	1	TRPV1
CALM3	-1	TRPC3
CALM3	1	TRPC6
CALM3	1	TRPV1
CAV1	1	TRPC1
CNR1	-1	TRPV1
DRD2	1	TRPC1
EGFR	1	TRPV3
GABARAP	1	TRPV1
HOMER1	1	TRPC3
ITPR1	1	TRPC3
ITPR3	1	TRPC3
MARCKS	-1	TRPC1
MX1	1	TRPC6
PKD2	1	TRPC3
PRKG1	-1	TRPC3
PRKG1	-1	TRPC6
SNF8	1	TRPC6
STIM1	1	TRPC1
TRPC1	1	TRPC4
TRPC1	1	TRPC5
TRPC1	-1	TRPC6
TRPC1	1	TRPV4
TRPC1	-1	TRPV6
TRPC3	1	TRPC1
TRPC4	1	TRPC1
TRPC5	1	TRPC1
TRPC5	-1	TRPC6
TRPV4	1	TRPC1
WNK4	-1	TRPC3
